Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
2009-01-19,2009,Bridgeport,110320.0,60000.0,Three Family,Triplex,6,5,1938.0,1.025953,South
2009-01-19,2009,Greenwich,4252150.0,7850000.0,Single Family,Detached House,3,2,905.0,1.025953,East
2009-01-22,2009,Waterbury,61040.0,148000.0,?,Detached House,3,3,1053.0,1.025953,South
2009-01-22,2009,Norwalk,301350.0,617000.0,Single Family,Detached House,3,1,1011.0,1.025953,North
2009-01-22,2009,Greenwich,,1100000.0,Single Family,Detached House,3,2,918.0,1.025953,South
2009-01-22,2009,Bridgeport,82250.0,202000.0,?,Detached House,3,2,1085.0,1.025953,North
2009-01-23,2009,Bridgeport,89670.0,266000.0,Two Family,Duplex,4,3,,1.025953,West
2009-01-24,2009,Waterbury,83930.0,240000.0,Three Family,Triplex,6,4,1899.0,1.025953,South
2009-01-24,2009,Bridgeport,114736.0,275000.0,Single Family,Detached House,3,2,1007.0,1.025953,East
2009-01-24,2009,Bridgeport,111720.0,265000.0,?,Detached House,3,3,947.0,1.025953,West
2009-01-25,2009,,,789000.0,Single Family,Detached House,3,1,923.0,1.025953,East
2009-01-25,2009,,81920.0,195000.0,Single Family,Detached House,3,2,940.0,1.025953,South
2009-01-26,2009,Fairfield,241430.0,290000.0,Single Family,Detached House,3,2,914.0,1.025953,West
2009-01-26,2009,Norwalk,306250.0,600000.0,?,Detached House,3,1,1087.0,1.025953,West
2009-01-26,2009,Bridgeport,4775276.0,294900.0,Single Family,Detached House,3,3,986.0,1.025953,West
2009-01-27,2009,,78050.0,82500.0,Single Family,Detached House,3,2,934.0,1.025953,North
2009-01-29,2009,,90720.0,200000.0,Single Family,Detached House,3,2,1073.0,1.025953,West
2009-01-29,2009,Waterbury,87500.0,188600.0,Three Family,Triplex,6,5,1949.0,1.025953,North
2009-01-30,2009,Bridgeport,88607.0,161000.0,Single Family,Detached House,3,3,984.0,1.025953,South
2009-01-30,2009,Bridgeport,196805.0,295000.0,Three Family,Triplex,6,4,1988.0,1.025953,East
2009-01-30,2009,Waterbury,75250.0,145000.0,Single Family,Detached House,3,1,958.0,1.025953,North
2009-01-30,2009,Norwalk,343910.0,650000.0,Single Family,Detached House,3,2,978.0,1.025953,East
2009-01-30,2009,Fairfield,565390.0,655000.0,?,Detached House,3,3,956.0,1.025953,South
2009-01-31,2009,Bridgeport,110460.0,239000.0,Single Family,Detached House,3,3,911.0,1.025953,North
2009-01-31,2009,Fairfield,425180.0,565000.0,?,Detached House,3,1,928.0,1.025953,West
2009-01-31,2009,Greenwich,2540720.0,3845000.0,Single Family,Detached House,3,3,,1.025953,East
2009-01-31,2009,Bridgeport,182070.0,369000.0,Two Family,Duplex,4,2,1383.0,1.025953,South
2009-01-31,2009,Norwalk,234290.0,60000.0,Single Family,Detached House,3,3,,1.025953,South
2009-01-31,2009,Waterbury,88480.0,220000.0,Single Family,Detached House,3,1,1057.0,1.025953,East
2009-02-01,2009,Waterbury,74480.0,163000.0,Single Family,Detached House,3,3,973.0,1.025953,North
2009-02-01,2009,Fairfield,243880.0,400000.0,Two Family,Duplex,4,2,1456.0,1.025953,South
2009-02-01,2009,Norwalk,232610.0,410000.0,?,Detached House,3,3,1032.0,1.025953,South
2009-02-01,2009,Greenwich,4122790.0,6150000.0,Single Family,Detached House,3,2,1030.0,1.025953,East
2009-02-01,2009,Bridgeport,,275000.0,Single Family,Detached House,3,1,1069.0,1.025953,East
2009-02-02,2009,Waterbury,,142900.0,Single Family,Detached House,3,1,,1.025953,East
2009-02-02,2009,,95410.0,159000.0,Single Family,Detached House,3,1,947.0,1.025953,East
2009-02-02,2009,Greenwich,,3500000.0,Single Family,Detached House,3,3,1061.0,1.025953,East
2009-02-05,2009,,76580.0,217500.0,Single Family,Detached House,3,3,947.0,1.025953,East
2009-02-05,2009,,,420000.0,Three Family,Triplex,6,5,1945.0,1.025953,East
2009-02-05,2009,Waterbury,96250.0,215000.0,?,Detached House,3,2,1095.0,1.025953,West
2009-02-05,2009,Bridgeport,,270000.0,Single Family,Detached House,3,1,948.0,1.025953,East
2009-02-06,2009,Greenwich,425250.0,2095000.0,Single Family,Detached House,3,2,938.0,1.025953,South
2009-02-06,2009,Greenwich,662200.0,775000.0,Single Family,Detached House,3,3,1083.0,1.025953,North
2009-02-06,2009,Bridgeport,,220000.0,Single Family,Detached House,3,1,977.0,1.025953,East
2009-02-07,2009,Bridgeport,81270.0,230000.0,Single Family,Detached House,3,2,1020.0,1.025953,North
2009-02-07,2009,,245140.0,287000.0,Single Family,Detached House,3,2,1032.0,1.025953,East
2009-02-08,2009,Bridgeport,121100.0,275000.0,Two Family,Duplex,4,3,1224.0,1.025953,North
2009-02-08,2009,Bridgeport,174231.0,363000.0,Four Family,Fourplex,8,6,2935.0,1.025953,South
2009-02-09,2009,Waterbury,110740.0,345000.0,Single Family,Detached House,3,2,1100.0,1.025953,North
2009-02-09,2009,Waterbury,69860.0,112000.0,Single Family,Detached House,3,3,1063.0,1.025953,South
2009-02-09,2009,Fairfield,720300.0,975000.0,?,Detached House,3,2,947.0,1.025953,North
2009-02-13,2009,Waterbury,73570.0,168000.0,Single Family,Detached House,3,3,1072.0,1.025953,West
2009-02-15,2009,Norwalk,,800000.0,Single Family,Detached House,3,3,1049.0,1.025953,East
2009-02-15,2009,Waterbury,49000.0,129900.0,Single Family,Detached House,3,1,1092.0,1.025953,South
2009-02-15,2009,Waterbury,159180.0,240000.0,?,Detached House,3,2,928.0,1.025953,East
2009-02-16,2009,Waterbury,67410.0,165500.0,Single Family,Detached House,3,2,,1.025953,East
2009-02-16,2009,Bridgeport,115430.0,261000.0,Single Family,Detached House,3,1,910.0,1.025953,South
2009-02-16,2009,Bridgeport,121240.0,272000.0,?,Detached House,3,1,,1.025953,East
2009-02-16,2009,Waterbury,77560.0,180000.0,Single Family,Detached House,3,1,1040.0,1.025953,South
2009-02-16,2009,Bridgeport,103600.0,245000.0,Single Family,Detached House,3,2,1069.0,1.025953,East
2009-02-19,2009,Bridgeport,116190.0,312500.0,Single Family,Detached House,3,1,954.0,1.025953,West
2009-02-20,2009,Bridgeport,104931.0,303500.0,?,Duplex,4,2,1382.0,1.025953,North
2009-02-20,2009,Norwalk,215600.0,437000.0,Single Family,Detached House,3,1,1021.0,1.025953,South
2009-02-20,2009,Norwalk,724240.0,1160000.0,Single Family,Detached House,3,2,929.0,1.025953,West
2009-02-20,2009,Norwalk,267470.0,555000.0,?,Detached House,3,3,901.0,1.025953,South
2009-02-20,2009,Fairfield,236180.0,410000.0,?,Detached House,3,3,,1.025953,North
2009-02-21,2009,Waterbury,47050.0,96400.0,Single Family,Detached House,3,1,913.0,1.025953,West
2009-02-21,2009,Greenwich,,1200000.0,Single Family,Detached House,3,1,970.0,1.025953,South
2009-02-21,2009,Waterbury,62300.0,139900.0,Single Family,Detached House,3,3,909.0,1.025953,North
2009-02-21,2009,Norwalk,250040.0,500000.0,Single Family,Detached House,3,1,1032.0,1.025953,West
2009-02-21,2009,,131180.0,270000.0,Single Family,Detached House,3,2,930.0,1.025953,West
2009-02-21,2009,,67690.0,175000.0,Single Family,Detached House,3,2,1037.0,1.025953,South
2009-02-22,2009,Waterbury,49490.0,119900.0,Single Family,Detached House,3,1,959.0,1.025953,South
2009-02-22,2009,Bridgeport,145040.0,340000.0,?,Duplex,4,3,1437.0,1.025953,West
2009-02-22,2009,Bridgeport,,42500.0,Two Family,Duplex,4,4,1382.0,1.025953,East
2009-02-22,2009,Bridgeport,143290.0,155000.0,Two Family,Duplex,4,3,1399.0,1.025953,South
2009-02-22,2009,Waterbury,,159650.0,Single Family,Detached House,3,3,1007.0,1.025953,West
2009-02-23,2009,Bridgeport,122570.0,173000.0,Single Family,Detached House,3,3,1070.0,1.025953,North
2009-02-23,2009,Norwalk,209370.0,536000.0,Two Family,Duplex,4,4,1489.0,1.025953,West
2009-02-23,2009,,94220.0,315000.0,?,Triplex,6,4,2197.0,1.025953,East
2009-02-23,2009,Fairfield,,1110000.0,Single Family,Detached House,3,2,1058.0,1.025953,North
2009-02-23,2009,,974680.0,1655000.0,Single Family,Detached House,3,2,1037.0,1.025953,South
2009-02-27,2009,,,99900.0,Single Family,Detached House,3,3,1033.0,1.025953,North
2009-02-27,2009,Fairfield,353850.0,487500.0,Single Family,Detached House,3,2,972.0,1.025953,East
2009-02-27,2009,Bridgeport,417904.0,225000.0,Three Family,Triplex,6,4,1904.0,1.025953,East
2009-02-28,2009,Greenwich,1286460.0,1877300.0,Single Family,Detached House,3,3,1055.0,1.025953,East
2009-02-28,2009,Fairfield,278040.0,389000.0,Single Family,Detached House,3,2,1020.0,1.025953,East
2009-02-28,2009,,291060.0,567500.0,Single Family,Detached House,3,1,1087.0,1.025953,South
2009-03-01,2009,Waterbury,74620.0,179900.0,Single Family,Detached House,3,3,917.0,1.025953,South
2009-03-01,2009,Norwalk,240660.0,449000.0,Single Family,Detached House,3,1,1072.0,1.025953,East
2009-03-01,2009,Bridgeport,,127550.0,Single Family,Detached House,3,1,941.0,1.025953,East
2009-03-01,2009,Fairfield,353990.0,635000.0,Single Family,Detached House,3,3,931.0,1.025953,West
2009-03-01,2009,Waterbury,55300.0,48521.0,Single Family,Detached House,3,1,1061.0,1.025953,North
2009-03-01,2009,,140000.0,233000.0,Single Family,Detached House,3,1,,1.025953,North
2009-03-01,2009,Greenwich,582890.0,925000.0,Single Family,Detached House,3,2,1054.0,1.025953,West
2009-03-02,2009,,78890.0,139000.0,Single Family,Detached House,3,2,1062.0,1.025953,South
2009-03-02,2009,Norwalk,,462500.0,Single Family,Detached House,3,3,996.0,1.025953,East
2009-03-02,2009,,139300.0,285000.0,Single Family,Detached House,3,3,929.0,1.025953,South
2009-03-02,2009,Bridgeport,69370.0,190000.0,Single Family,Detached House,3,2,,1.025953,South
2009-03-03,2009,Norwalk,454510.0,849000.0,Single Family,Detached House,3,2,,1.025953,East
2009-03-05,2009,,160370.0,330000.0,Three Family,Triplex,6,6,2112.0,1.025953,South
2009-03-05,2009,Greenwich,1290940.0,2215000.0,?,Detached House,3,3,1007.0,1.025953,West
2009-03-06,2009,Norwalk,290640.0,523000.0,Single Family,Detached House,3,3,1064.0,1.025953,South
2009-03-06,2009,Fairfield,,350000.0,?,Detached House,3,2,1067.0,1.025953,West
2009-03-06,2009,Greenwich,2051980.0,3300000.0,Single Family,Detached House,3,2,943.0,1.025953,South
2009-03-07,2009,Norwalk,,365000.0,Single Family,Detached House,3,2,952.0,1.025953,East
2009-03-08,2009,Greenwich,,4100000.0,Single Family,Detached House,3,2,1068.0,1.025953,West
2009-03-08,2009,Greenwich,1690010.0,1700000.0,?,Detached House,3,2,1037.0,1.025953,South
2009-03-08,2009,Bridgeport,58800.0,117500.0,Single Family,Detached House,3,1,915.0,1.025953,North
2009-03-09,2009,Bridgeport,100450.0,269350.0,Three Family,Triplex,6,4,2126.0,1.025953,West
2009-03-09,2009,Waterbury,55790.0,100000.0,Single Family,Detached House,3,2,1034.0,1.025953,North
2009-03-12,2009,Bridgeport,148820.0,243000.0,Single Family,Detached House,3,3,1034.0,1.025953,North
2009-03-12,2009,Waterbury,71680.0,165000.0,Single Family,Detached House,3,1,926.0,1.025953,North
2009-03-12,2009,Fairfield,331730.0,360000.0,Single Family,Detached House,3,1,920.0,1.025953,East
2009-03-13,2009,Waterbury,60970.0,122375.0,Single Family,Detached House,3,1,,1.025953,North
2009-03-13,2009,,113750.0,195000.0,Three Family,Triplex,6,6,2004.0,1.025953,West
2009-03-14,2009,Fairfield,1032220.0,1300000.0,Single Family,Detached House,3,3,911.0,1.025953,North
2009-03-14,2009,Bridgeport,115360.0,233000.0,Two Family,Duplex,4,2,1454.0,1.025953,North
2009-03-15,2009,Waterbury,62930.0,159000.0,?,Detached House,3,3,1041.0,1.025953,North
2009-03-15,2009,Waterbury,76860.0,153000.0,?,Detached House,3,2,1028.0,1.025953,East
2009-03-15,2009,Greenwich,2096780.0,4200000.0,Single Family,Detached House,3,3,912.0,1.025953,East
2009-03-15,2009,Fairfield,357210.0,447500.0,?,Detached House,3,2,942.0,1.025953,West
2009-03-15,2009,,3416000.0,4200000.0,Single Family,Detached House,3,3,1008.0,1.025953,West
2009-03-15,2009,Greenwich,1214570.0,2200000.0,Single Family,Detached House,3,1,908.0,1.025953,East
2009-03-16,2009,Fairfield,334040.0,515000.0,Single Family,Detached House,3,3,907.0,1.025953,South
2009-03-19,2009,Waterbury,55860.0,148847.0,Two Family,Duplex,4,2,1339.0,1.025953,East
2009-03-19,2009,Waterbury,96880.0,280200.0,Single Family,Detached House,3,2,946.0,1.025953,North
2009-03-19,2009,Greenwich,1438220.0,1250000.0,?,Detached House,3,2,,1.025953,South
2009-03-19,2009,Bridgeport,144200.0,150000.0,?,Detached House,3,3,1057.0,1.025953,South
2009-03-19,2009,Greenwich,1568490.0,2050000.0,?,Detached House,3,2,1022.0,1.025953,North
2009-03-20,2009,Waterbury,69650.0,29000.0,Two Family,Duplex,4,2,1396.0,1.025953,South
2009-03-20,2009,Bridgeport,91491.0,148000.0,Three Family,Triplex,6,6,2026.0,1.025953,West
2009-03-20,2009,Bridgeport,126630.0,269000.0,Single Family,Detached House,3,1,1053.0,1.025953,East
2009-03-20,2009,Fairfield,456050.0,547500.0,Single Family,Detached House,3,3,1071.0,1.025953,East
2009-03-20,2009,Bridgeport,,42500.0,?,Detached House,3,2,1100.0,1.025953,West
2009-03-21,2009,Waterbury,,166000.0,Two Family,Duplex,4,2,1426.0,1.025953,North
2009-03-21,2009,Norwalk,209650.0,360000.0,Single Family,Detached House,3,2,961.0,1.025953,West
2009-03-22,2009,Waterbury,73640.0,189000.0,Single Family,Detached House,3,2,,1.025953,West
2009-03-22,2009,Greenwich,,1580000.0,Single Family,Detached House,3,3,926.0,1.025953,North
2009-03-22,2009,Greenwich,,640000.0,Single Family,Detached House,3,2,931.0,1.025953,South
2009-03-22,2009,Norwalk,219100.0,427000.0,Single Family,Detached House,3,3,1021.0,1.025953,West
2009-03-23,2009,Waterbury,70070.0,235000.0,Three Family,Triplex,6,4,1831.0,1.025953,South
2009-03-23,2009,Greenwich,1716610.0,3000000.0,Single Family,Detached House,3,2,,1.025953,North
2009-03-23,2009,,2120860.0,3187900.0,Single Family,Detached House,3,2,944.0,1.025953,North
2009-03-26,2009,Waterbury,,80000.0,Two Family,Duplex,4,2,1200.0,1.025953,South
2009-03-27,2009,,,3900000.0,Single Family,Detached House,3,3,,1.025953,South
2009-03-27,2009,Fairfield,764680.0,925000.0,Single Family,Detached House,3,1,1071.0,1.025953,West
2009-03-28,2009,Bridgeport,109130.0,235000.0,Single Family,Detached House,3,3,985.0,1.025953,South
2009-03-29,2009,Norwalk,196350.0,385000.0,Single Family,Detached House,3,2,1007.0,1.025953,North
2009-03-29,2009,Bridgeport,72380.0,249900.0,Two Family,Duplex,4,4,1347.0,1.025953,South
2009-03-30,2009,Norwalk,262500.0,412000.0,Single Family,Detached House,3,3,1064.0,1.025953,South
2009-03-30,2009,Waterbury,30030.0,82000.0,Three Family,Triplex,6,4,1921.0,1.025953,South
2009-03-30,2009,Fairfield,353360.0,446000.0,Single Family,Detached House,3,1,1066.0,1.025953,North
2009-03-30,2009,Norwalk,389410.0,630000.0,Single Family,Detached House,3,1,1016.0,1.025953,West
2009-03-30,2009,Greenwich,1089270.0,1865000.0,Single Family,Detached House,3,2,1097.0,1.025953,East
2009-03-30,2009,Norwalk,234220.0,395000.0,Single Family,Detached House,3,3,936.0,1.025953,East
2009-03-30,2009,Greenwich,1551410.0,2390000.0,Single Family,Detached House,3,2,974.0,1.025953,North
2009-03-30,2009,Waterbury,30590.0,88000.0,Single Family,Detached House,3,3,1044.0,1.025953,South
2009-03-30,2009,Bridgeport,125161.0,92500.0,Two Family,Duplex,4,2,,1.025953,South
2009-03-30,2009,,1243200.0,1956000.0,Single Family,Detached House,3,2,1088.0,1.025953,East
2009-03-30,2009,Bridgeport,152250.0,329600.0,Single Family,Detached House,3,1,963.0,1.025953,East
2009-03-30,2009,Bridgeport,108920.0,161000.0,Three Family,Triplex,6,6,1965.0,1.025953,East
2009-04-02,2009,Fairfield,,1702000.0,Single Family,Detached House,3,2,1056.0,1.025953,West
2009-04-02,2009,,53410.0,144000.0,Two Family,Duplex,4,3,1386.0,1.025953,East
2009-04-02,2009,Bridgeport,140350.0,270000.0,?,Duplex,4,3,1244.0,1.025953,East
2009-04-02,2009,Norwalk,,2800000.0,Single Family,Detached House,3,1,1028.0,1.025953,East
2009-04-02,2009,Bridgeport,109900.0,407000.0,?,Duplex,4,2,,1.025953,East
2009-04-03,2009,Bridgeport,141260.0,280000.0,Single Family,Detached House,3,1,966.0,1.025953,South
2009-04-04,2009,Bridgeport,135801.0,294000.0,Single Family,Detached House,3,3,1092.0,1.025953,East
2009-04-04,2009,Bridgeport,155470.0,231750.0,Three Family,Triplex,6,5,1988.0,1.025953,South
2009-04-04,2009,Greenwich,1352960.0,1650000.0,Single Family,Detached House,3,2,1063.0,1.025953,North
2009-04-04,2009,Norwalk,,1550000.0,Single Family,Detached House,3,2,1099.0,1.025953,North
2009-04-05,2009,Bridgeport,79660.0,242050.0,Two Family,Duplex,4,3,1407.0,1.025953,West
2009-04-05,2009,Greenwich,2556890.0,2550000.0,Single Family,Detached House,3,3,1054.0,1.025953,East
2009-04-05,2009,Greenwich,,9300000.0,?,Detached House,3,3,1019.0,1.025953,East
2009-04-09,2009,Norwalk,211820.0,450000.0,?,Detached House,3,3,1005.0,1.025953,West
2009-04-09,2009,Bridgeport,176750.0,257000.0,Three Family,Triplex,6,4,1804.0,1.025953,East
2009-04-09,2009,Greenwich,745290.0,1325000.0,Two Family,Duplex,4,3,1347.0,1.025953,East
2009-04-10,2009,Bridgeport,128730.0,250000.0,Single Family,Detached House,3,1,947.0,1.025953,South
2009-04-10,2009,Bridgeport,69370.0,109900.0,Two Family,Duplex,4,2,1431.0,1.025953,North
2009-04-10,2009,Fairfield,584150.0,665000.0,Single Family,Detached House,3,2,909.0,1.025953,West
2009-04-10,2009,Waterbury,57120.0,133000.0,?,Detached House,3,1,972.0,1.025953,North
2009-04-11,2009,,317520.0,630000.0,Single Family,Detached House,3,2,1085.0,1.025953,North
2009-04-12,2009,Norwalk,231490.0,521500.0,Single Family,Detached House,3,3,1064.0,1.025953,North
2009-04-12,2009,Greenwich,655550.0,715500.0,?,Detached House,3,2,991.0,1.025953,East
2009-04-13,2009,Fairfield,344330.0,485000.0,Single Family,Detached House,3,1,988.0,1.025953,East
2009-04-13,2009,Waterbury,60620.0,164000.0,?,Detached House,3,1,1098.0,1.025953,East
2009-04-13,2009,Fairfield,254450.0,343000.0,Single Family,Detached House,3,1,942.0,1.025953,South
2009-04-13,2009,Norwalk,1336580.0,1675000.0,Single Family,Detached House,3,3,,1.025953,South
2009-04-16,2009,Waterbury,64260.0,160000.0,?,Detached House,3,2,1013.0,1.025953,West
2009-04-16,2009,Bridgeport,121590.0,318558.0,Three Family,Triplex,6,6,1924.0,1.025953,East
2009-04-16,2009,Waterbury,54460.0,156000.0,Single Family,Detached House,3,1,1096.0,1.025953,North
2009-04-16,2009,Fairfield,980840.0,1775000.0,Single Family,Detached House,3,1,993.0,1.025953,East
2009-04-17,2009,Bridgeport,132300.0,324000.0,Two Family,Duplex,4,2,1329.0,1.025953,East
2009-04-17,2009,,60270.0,165000.0,?,Duplex,4,2,1219.0,1.025953,North
2009-04-17,2009,Fairfield,425740.0,450000.0,?,Detached House,3,3,953.0,1.025953,East
2009-04-17,2009,Norwalk,240870.0,506000.0,Single Family,Detached House,3,2,1021.0,1.025953,West
2009-04-18,2009,Fairfield,359730.0,544770.0,Single Family,Detached House,3,3,1026.0,1.025953,West
2009-04-18,2009,Norwalk,340900.0,690000.0,Single Family,Detached House,3,1,954.0,1.025953,South
2009-04-20,2009,Greenwich,1749930.0,3140000.0,Single Family,Detached House,3,2,,1.025953,North
2009-04-23,2009,Waterbury,21000.0,30000.0,Single Family,Detached House,3,1,922.0,1.025953,North
2009-04-23,2009,Greenwich,2404360.0,3100000.0,?,Detached House,3,1,1088.0,1.025953,South
2009-04-23,2009,Greenwich,1309210.0,2195000.0,Single Family,Detached House,3,3,920.0,1.025953,North
2009-04-23,2009,Bridgeport,156380.0,340000.0,Single Family,Detached House,3,3,1037.0,1.025953,West
2009-04-23,2009,Greenwich,552440.0,730000.0,Single Family,Detached House,3,2,,1.025953,South
2009-04-23,2009,Norwalk,835870.0,757992.0,Single Family,Detached House,3,3,1077.0,1.025953,North
2009-04-24,2009,Waterbury,,205000.0,?,Detached House,3,3,930.0,1.025953,East
2009-04-24,2009,Norwalk,248360.0,455000.0,Single Family,Detached House,3,1,1023.0,1.025953,North
2009-04-25,2009,Waterbury,65310.0,126600.0,Single Family,Detached House,3,3,1070.0,1.025953,North
2009-04-26,2009,Norwalk,,425000.0,?,Detached House,3,3,1059.0,1.025953,East
2009-04-26,2009,,70210.0,160000.0,Single Family,Detached House,3,3,1008.0,1.025953,West
2009-04-27,2009,Bridgeport,108920.0,252000.0,Two Family,Duplex,4,3,1364.0,1.025953,West
2009-04-27,2009,Fairfield,657300.0,1172500.0,Single Family,Detached House,3,3,1064.0,1.025953,East
2009-04-27,2009,Waterbury,67070.0,82000.0,?,Triplex,6,4,2081.0,1.025953,North
2009-04-27,2009,,82950.0,225000.0,Single Family,Detached House,3,3,1040.0,1.025953,South
2009-04-27,2009,Greenwich,1149400.0,1468001.0,Single Family,Detached House,3,2,1001.0,1.025953,West
2009-04-30,2009,Fairfield,334670.0,427700.0,Single Family,Detached House,3,3,1099.0,1.025953,West
2009-04-30,2009,Waterbury,96670.0,184900.0,?,Detached House,3,2,958.0,1.025953,West
2009-04-30,2009,Waterbury,104230.0,243000.0,Single Family,Detached House,3,2,1074.0,1.025953,West
2009-04-30,2009,Norwalk,205100.0,420000.0,Single Family,Detached House,3,2,1090.0,1.025953,East
2009-04-30,2009,Bridgeport,101640.0,210000.0,Single Family,Detached House,3,3,981.0,1.025953,East
2009-04-30,2009,Bridgeport,115150.0,226000.0,Single Family,Detached House,3,1,955.0,1.025953,North
2009-05-01,2009,Waterbury,65730.0,150000.0,Single Family,Detached House,3,2,1040.0,1.025953,North
2009-05-01,2009,Waterbury,57470.0,143400.0,?,Detached House,3,3,996.0,1.025953,North
2009-05-01,2009,Fairfield,437500.0,565000.0,Single Family,Detached House,3,1,1074.0,1.025953,South
2009-05-01,2009,Waterbury,106190.0,262000.0,?,Triplex,6,4,1879.0,1.025953,South
2009-05-01,2009,Fairfield,,950000.0,?,Detached House,3,2,1031.0,1.025953,West
2009-05-01,2009,Greenwich,448070.0,738300.0,Single Family,Detached House,3,1,936.0,1.025953,West
